name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
gemini_d2_r2_01,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2nnc(CCCCC)c(CCCCC)n2)n1,C35H59N5O,565.9,9.56,71.9,0,4,24,2.87,0.617,0.0,False,0.0,True,True,1,1
gemini_d2_r2_02,CCCCCCCCn1ccc(-c2cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)n2)n1,C33H56N4O,524.8,9.18,51.0,0,3,21,3.59,0.431,0.0,False,0.406,True,True,0,1
gemini_d2_r2_03,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)n2)n1,C44H74N4O2,691.1,11.89,66.4,0,2,27,4.18,0.5,0.0,False,0.731,True,True,0,2
gemini_d2_r2_04,CCCCCc1nnc(-c2ccc3ccc4ccc(C(=O)N(CCCC)CCCC)nc4c3n2)nc1CCCCC,C34H46N6O,554.8,8.14,84.8,0,5,16,2.99,0.638,0.0,False,0.704,True,True,1,2
gemini_d2_r2_05,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2nnc(C(C)(C)C)c(C(C)(C)C)n2)n1,C33H55N5O,537.8,8.69,71.9,0,4,16,2.91,0.5,0.0,False,0.685,True,True,1,1
gemini_d2_r2_06,CCCCCCCCN(CCCCCCCC)C(=O)COc1cccc(OCC(=O)N(CCCCCCCC)CCCCCCCC)n1,C41H75N3O4,674.1,10.94,72.0,0,1,34,2.73,0.553,0.0,False,0.404,True,True,0,1
gemini_d2_r2_07,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2cc(C(C)(C)C)cc(C(C)(C)C)n2)n1,C35H57N3O,535.9,9.9,46.1,0,2,16,2.76,0.491,0.0,False,0.603,True,True,0,2
gemini_d2_r2_08,CCCCCCCCN(CCCCCCCC)C(=O)COCc1cccc(COCC(=O)N(CCCCCCCC)CCCCCCCC)n1,C43H79N3O4,702.1,11.21,72.0,0,1,36,2.84,0.605,0.0,False,0.636,True,True,0,1
gemini_d2_r2_09,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2cn(CCCCCC)nn2)n1,C30H51N5O,497.8,8.08,63.9,0,4,21,2.62,0.509,0.0,False,0.569,True,True,0,1
gemini_d2_r2_10,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2ccc3ccc(-c4nnc5c(n4)C(C)(C)CCC5(C)C)nc3c2n1,C40H56N6O,636.9,9.86,84.8,0,5,14,4.21,0.526,0.014,False,0.508,True,True,1,2
