name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
claudescience_d3_01,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)nc3c2n1,C46H74N4O2,715.1,12.53,66.4,0,2,26,4.24,0.467,0.077,False,0.0,True,True,0,2
claudescience_d3_02,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CCCCCC)CCCCCC)n2)n1,C36H58N4O2,578.9,9.35,66.4,0,2,23,2.58,0.362,0.1,False,0.4,True,True,0,2
claudescience_d3_03,CCCCC(CC)CN(C(=O)c1cccc(C(=O)N(CC(CC)CCCC)c2ccccc2)n1)c1ccccc1,C35H47N3O2,541.8,8.81,53.5,0,1,16,3.5,0.38,0.09,False,0.54,True,True,0,1
claudescience_d3_04,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)n1,C33H53N5O,535.8,8.45,71.9,0,4,16,3.07,0.529,0.164,False,0.64,True,True,1,1
claudescience_d3_05,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3ccc(-c4nnc5c(n4)C(C)(C)CCC5(C)C)nc3c2n1,C36H48N6O,580.8,8.59,84.8,0,5,12,3.24,0.421,0.11,False,0.772,True,True,1,2
claudescience_d3_06,CCCCC(CC)Cn1cc(-c2cccc(-c3cn(CC(CC)CCCC)nn3)n2)nn1,C25H39N7,437.6,6.03,74.3,0,7,14,3.67,0.36,0.129,False,0.351,True,True,0,1
claudescience_d3_07,CCCCCCN(CCCCCC)C(=O)CN(CC(=O)N(CCCCCC)CCCCCC)Cc1ccccn1,C34H62N4O2,558.9,7.86,56.8,0,1,26,2.67,0.314,0.076,False,0.42,True,True,0,1
claudescience_d3_08,CCCCCCCCn1cc(-c2cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)n2)nn1,C32H55N5O,525.8,8.58,63.9,0,4,21,3.61,0.344,0.089,False,0.552,True,True,0,1
claudescience_d3_09,CCCCCCn1c(-c2cccc(-c3nc4ccccc4n3CCCCCC)n2)nc2ccccc21,C31H37N5,479.7,8.28,48.5,0,5,12,2.43,0.347,0.103,False,0.333,True,True,0,1
claudescience_d3_10,CCCCCCCCn1ccc(-c2cccc(C(=O)N(CCCCCC)CCCCCC)n2)n1,C29H48N4O,468.7,7.91,51.0,0,3,19,2.56,0.288,0.099,False,0.733,True,True,0,1
