name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
claude_d3_01,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)n1,C39H71N3O2,614.0,10.83,53.5,0,1,26,4.04,0.488,0.079,False,0.0,True,True,0,1
claude_d3_02,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,C46H74N4O2,715.1,13.11,66.4,0,2,30,2.75,0.235,0.083,False,0.426,False,True,0,2
claude_d3_03,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CCCCCC)CCCCCC)n2)n1,C36H58N4O2,578.9,9.35,66.4,0,2,23,2.58,0.362,0.1,False,0.667,True,True,0,2
claude_d3_04,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(-c2nnc(CCC)c(CCC)n2)n1,C31H51N5O,509.8,7.71,71.9,0,4,18,3.76,0.51,0.137,False,0.667,True,True,1,1
claude_d3_05,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)n1,C33H53N5O,535.8,8.45,71.9,0,4,16,3.07,0.529,0.164,False,0.64,True,True,1,1
claude_d3_06,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2cc(CC(C)(C)C)n(C)n2)n1,C27H44N4O,440.7,6.67,51.0,0,3,13,2.71,0.295,0.127,False,0.66,True,True,0,1
claude_d3_07,CCCCCCCCN(CCCCCCCC)C(=O)CN1CCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC1,C40H80N4O2,649.1,9.7,47.1,0,0,32,2.39,0.302,0.032,False,0.372,True,True,0,0
claude_d3_08,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2c(C)c(C)c3ccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)nc3c2n1,C48H78N4O2,743.2,13.15,66.4,0,2,26,4.4,0.429,0.072,False,0.689,True,True,0,2
claude_d3_09,CCCCCCCCn1cc(-c2cccc(C(=O)N(CCCCCC)CCCCCC)n2)nn1,C28H47N5O,469.7,7.3,63.9,0,4,19,2.58,0.305,0.097,False,0.717,True,True,0,1
claude_d3_10,CCCCCCCCN(C(=O)c1cccc(C(=O)N(CCCCCCCC)c2ccccc2)n1)c1ccccc1,C35H47N3O2,541.8,9.1,53.5,0,1,18,2.42,0.269,0.097,False,0.581,True,True,0,1
