name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
gemini_d1_01,CC(C)Cc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C27H39N7,461.7,5.58,90.2,0,7,10,3.05,0.588,0.0,False,0.0,True,True,2,1
gemini_d1_02,c1cc(-c2cccc(-c3nnc(C4CCCC4)c(C4CCCC4)n3)n2)nc(-c2nnc(C3CCCC3)c(C3CCCC3)n2)c1,C36H42N8,586.8,8.48,103.1,0,8,7,3.04,0.467,0.0,False,0.357,True,True,2,2
gemini_d1_03,c1cc(-c2nnc(C3CCCCC3)c(C3CCCCC3)n2)nc(-c2nnc(C3CCCCC3)c(C3CCCCC3)n2)c1,C35H47N7,565.8,8.98,90.2,0,7,6,2.97,0.444,0.0,False,0.933,True,True,2,1
gemini_d1_04,CC1(C)CCC(C)(C)c2nc(-c3cncc(-c4nnc5c(n4)C(C)(C)CCC5(C)C)n3)nnc21,C26H34N8,458.6,4.88,103.1,0,8,2,3.59,0.676,0.016,False,0.244,True,True,2,0
gemini_d1_05,CC(C)(C)c1cc(C(C)(C)C)n(-c2cccc(-n3nc(C(C)(C)C)cc3C(C)(C)C)n2)n1,C27H41N5,435.7,6.64,48.5,0,5,2,2.88,0.444,0.0,False,0.191,True,True,0,1
gemini_d1_06,CC1(C)CCC(C)(C)c2nc(-c3cc(C4CCCCC4)cc(-c4cc(C5CCCCC5)cc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,C44H58N8,699.0,10.64,103.1,0,8,5,3.72,0.634,0.014,False,0.548,True,True,2,2
gemini_d1_07,CC(C)Cc1nnc(-c2cc(CC(C)(C)C)cc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C32H49N7,531.8,7.17,90.2,0,7,11,3.35,0.333,0.0,False,0.59,True,True,2,1
gemini_d1_08,CCCCC(CC)Cc1nnc(-c2cccc(-c3nnc(CC(CC)CCCC)c(CC(CC)CCCC)n3)n2)nc1CC(CC)CCCC,C43H71N7,686.1,11.82,90.2,0,7,26,4.47,0.571,0.0,False,0.615,True,True,2,1
gemini_d1_09,CC(C)Cc1nnc(-c2cccc(-c3cccc(-c4nnc(CC(C)C)c(CC(C)C)n4)n3)n2)nc1CC(C)C,C32H42N8,538.7,6.64,103.1,0,8,11,3.07,0.618,0.0,False,0.966,True,True,2,2
gemini_d1_10,CCCCC(CC)Cc1cc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,C35H51N7,569.8,8.24,90.2,0,7,8,4.21,0.521,0.017,False,0.479,True,True,2,1
