name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
CyMe4-BTPhen,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,C34H38N8,558.7,7.19,103.1,0,8,2,3.46,0.686,0.017,False,0.0,True,True,2,2
Camphor-BTPhen,CC12CCC(c3nnc(-c4ccc5ccc6ccc(-c7nnc8c(n7)C7(C)CCC8C7(C)C)nc6c5n4)nc31)C2(C)C,C34H34N8,554.7,6.84,103.1,0,8,2,5.52,0.762,0.015,False,0.545,True,True,2,2
TEtCy-BTBP,CCC1(CC)CCC(CC)(CC)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(CC)(CC)CCC6(CC)CC)n4)n3)nnc21,C40H54N8,646.9,9.67,103.1,0,8,11,3.9,0.605,0.052,False,0.409,True,True,2,2
Dispiro-BTBP,c1cc(-c2cccc(-c3nnc4c(n3)C3(CCCCC3)CCC43CCCCC3)n2)nc(-c2nnc3c(n2)C2(CCCCC2)CCC32CCCCC2)c1,C44H54N8,695.0,10.24,103.1,0,8,3,4.53,0.622,0.0,False,0.537,True,True,2,2
diTBu-BTBP,CC(C)(C)c1nnc(-c2cccc(-c3cccc(-c4nnc(C(C)(C)C)c(C(C)(C)C)n4)n3)n2)nc1C(C)(C)C,C32H42N8,538.7,7.04,103.1,0,8,3,3.03,0.447,0.038,False,0.415,True,True,2,2
BisArTBu-BTBP,CC(C)(C)c1ccc(-c2nnc(-c3cccc(-c4cccc(-c5nnc(-c6ccc(C(C)(C)C)cc6)c(-c6ccc(C(C)(C)C)cc6)n5)n4)n3)nc2-c2ccc(C(C)(C)C)cc2)cc1,C56H58N8,843.1,13.71,103.1,0,8,7,3.03,0.386,0.034,False,0.526,True,True,2,2
CyMe4-BathoBTPhen,CC1(C)CCC(C)(C)c2nc(-c3cc(-c4ccccc4)c4ccc5c(-c6ccccc6)cc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,C46H46N8,710.9,10.52,103.1,0,8,4,3.54,0.558,0.015,False,0.581,True,True,2,2
CyMe4-diHexylBTBP,CCCCCCc1ccc(-c2ccc(CCCCCC)c(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc1-c1nnc2c(n1)C(C)(C)CCC2(C)C,C44H62N8,703.0,10.79,103.1,0,8,13,3.78,0.489,0.094,False,0.479,True,True,2,2
Dispiro-BTPhen,c1cc2ccc3ccc(-c4nnc5c(n4)C4(CCCCC4)CCC54CCCCC4)nc3c2nc1-c1nnc2c(n1)C1(CCCCC1)CCC21CCCCC1,C46H54N8,719.0,10.88,103.1,0,8,2,4.61,0.419,0.0,False,0.703,True,True,2,2
TEtCy-tBuBTP,CCC1(CC)CCC(CC)(CC)c2nc(-c3cc(C(C)(C)C)cc(-c4nnc5c(n4)C(CC)(CC)CCC5(CC)CC)n3)nnc21,C39H59N7,626.0,9.9,90.2,0,7,10,4.08,0.619,0.049,False,0.634,True,True,2,1
