name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
chatgpt_d1_r3_01,CCCc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CCC,C25H35N7,433.6,5.09,90.2,0,7,10,3.1,0.771,0.0,False,0.0,True,True,2,1
chatgpt_d1_r3_02,CCCCc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CCCC,C27H39N7,461.7,5.87,90.2,0,7,12,3.1,0.7,0.0,False,0.846,True,True,2,1
chatgpt_d1_r3_03,CC(C)(C)Cc1cc(-c2ccnc(-c3cc(CC(C)(C)C)[nH]n3)c2)n[nH]1,C21H29N5,351.5,5.04,70.2,2,5,4,3.03,0.59,0.0,False,0.115,True,True,0,1
chatgpt_d1_r3_04,CC(C)(C)Cc1cc(-c2cccnc2-c2nnc(CC(C)(C)C)c(CC(C)(C)C)n2)n[nH]1,C26H38N6,434.6,6.09,80.2,1,6,5,3.31,0.49,0.0,False,0.453,True,True,1,1
chatgpt_d1_r3_05,CC(C)(C)Cc1cc(-c2cc(-c3nnc(CC(C)(C)C)c(CC(C)(C)C)n3)ccn2)n[nH]1,C26H38N6,434.6,6.09,80.2,1,6,5,3.27,0.511,0.0,False,0.705,True,True,1,1
chatgpt_d1_r3_06,CC(C)Cc1nnc(-c2cnc(-c3nnc(CC(C)C)c(CC(C)C)n3)cn2)nc1CC(C)C,C26H38N8,462.6,4.97,103.1,0,8,10,3.11,0.359,0.0,False,0.55,True,True,2,0
chatgpt_d1_r3_07,CCC(C)c1cc(-c2cccc(-c3ncccc3-c3cc(C(C)CC)[nH]n3)n2)n[nH]1,C24H28N6,400.5,5.95,83.1,2,6,7,3.77,0.365,0.0,False,0.387,True,True,0,2
chatgpt_d1_r3_08,CC(C)(C)Cc1cc(-c2cccc(-c3ncccc3-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,C26H32N6,428.6,6.1,83.1,2,6,5,3.13,0.707,0.0,False,0.667,True,True,0,2
chatgpt_d1_r3_09,CC(C)(C)Cc1cc(-c2cccnc2-c2cccc(-c3nnc(CC(C)(C)C)c(CC(C)(C)C)n3)n2)n[nH]1,C31H41N7,511.7,7.15,93.1,1,7,6,3.37,0.529,0.0,False,0.824,True,True,1,2
chatgpt_d1_r3_10,CC(C)Cc1nnc(-c2cccc(-c3ncccc3-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C32H42N8,538.7,6.64,103.1,0,8,11,3.32,0.435,0.0,False,0.596,True,True,2,2
