name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
claude_d4_r4_01,CC1(C)CC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CC7(C)C)nc5c4n3)nnc21,C32H34N8,530.7,6.4,103.1,0,8,2,3.58,0.553,0.017,False,0.0,True,True,2,2
claude_d4_r4_02,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CC3(C)C)c1,C38H50N8,618.9,8.36,103.1,0,8,3,3.77,0.833,0.016,False,0.537,True,True,2,2
claude_d4_r4_03,CC(C)(C)Cc1nnc(-c2cccc(-c3cccc(-c4nnc(CC(C)(C)C)c(CC(C)(C)C)n4)n3)n2)nc1CC(C)(C)C,C36H50N8,594.9,8.2,103.1,0,8,7,3.29,0.556,0.055,False,0.283,True,True,2,2
claude_d4_r4_04,CCCc1nnc(-c2ccc3ccc4ccc(-c5nnc(CCC)c(CCC)n5)nc4c3n2)nc1CCC,C30H34N8,506.7,6.3,103.1,0,8,10,3.0,0.697,0.074,False,0.439,True,True,2,2
claude_d4_r4_05,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc5c(n4)C(C)(C)CCC5(C)C)n3)n2)nc1CCCCC,C34H44N8,564.8,7.66,103.1,0,8,11,3.4,0.721,0.091,False,0.412,True,True,2,2
claude_d4_r4_06,CC12CCC(c3nnc(-c4ccc5ccc6ccc(-c7nnc8c(n7)C7(C)CCC8C7(C)C)nc6c5n4)nc31)C2(C)C,C34H34N8,554.7,6.84,103.1,0,8,2,5.52,0.762,0.015,False,0.511,True,True,2,2
claude_d4_r4_07,CCCCCCOc1cc(-c2cc(OCCCCCC)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,C44H62N8O2,735.0,10.46,121.6,0,8,15,3.71,0.578,0.094,False,0.527,True,True,2,2
claude_d4_r4_08,CC(C)(C)Cc1nnc(-c2ccc3ccc4ccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)nc4c3n2)nc1CC(C)(C)C,C36H44N8,588.8,8.01,103.1,0,8,4,3.63,0.522,0.045,False,0.614,True,True,2,2
claude_d4_r4_09,Cc1nnc(-c2cccc(-c3cccc(-c4nnc(C)c(-c5ccc(C(C)(C)C)cc5)n4)n3)n2)nc1-c1ccc(C(C)(C)C)cc1,C38H38N8,606.8,8.39,103.1,0,8,5,2.87,0.37,0.016,False,0.432,True,True,2,2
claude_d4_r4_10,CCC1(CC)CCC(CC)(CC)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(CC)(CC)CCC6(CC)CC)n4)n3)nnc21,C40H54N8,646.9,9.67,103.1,0,8,11,3.9,0.605,0.052,False,0.5,True,True,2,2
