name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
gemini_d3_r3_01,CCCCC(CC)CN(C)C(=O)c1cccc(C(=O)N(C)CC(CC)CCCC)n1,C25H43N3O2,417.6,5.66,53.5,0,1,14,3.41,0.413,0.078,False,0.0,True,True,0,1
gemini_d3_r3_02,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,C30H42N4O2,490.7,6.87,66.4,0,2,14,2.56,0.229,0.086,False,0.375,False,True,0,2
gemini_d3_r3_03,CCCCCN(CCCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CCCCC)CCCCC)n2)n1,C32H50N4O2,522.8,7.79,66.4,0,2,19,2.53,0.37,0.102,False,0.59,True,True,0,2
gemini_d3_r3_04,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(-c2nnc(C(C)(C)C)c(C(C)(C)C)n2)n1,C33H55N5O,537.8,8.4,71.9,0,4,14,3.87,0.362,0.143,False,0.536,True,True,1,1
gemini_d3_r3_05,CCCCC(CC)CN(CC(CC)CCCC)C(=O)Cc1cccc(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)n1,C41H75N3O2,642.1,10.69,53.5,0,1,28,4.14,0.535,0.077,False,0.553,True,True,0,1
gemini_d3_r3_06,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)nc3c2n1,C46H74N4O2,715.1,12.53,66.4,0,2,26,4.24,0.467,0.077,False,0.634,True,True,0,2
gemini_d3_r3_07,CCCCCCN(CCCCCC)C(=O)c1cccc(C(=O)N(CCCCCC)CCCCCC)n1,C31H55N3O2,501.8,8.29,53.5,0,1,22,2.39,0.298,0.086,False,0.824,True,True,0,1
gemini_d3_r3_08,COCCOc1nnc(-c2cccc(-c3cccc(-c4nnc(OCCO)c(OCCO)n4)n3)n2)nc1OCCO,C25H28N8O8,568.5,-0.01,210.0,3,8,16,3.3,0.375,0.065,False,0.261,True,False,2,2
gemini_d3_r3_09,CCCCN(C(=O)c1cccc(C(=O)N(CCCC)c2ccccc2)n1)c1ccccc1,C27H31N3O2,429.6,5.98,53.5,0,1,10,2.3,0.255,0.1,False,0.575,True,True,0,1
gemini_d3_r3_10,CC(C)CN(CC(C)C)C(=O)c1cccc(-c2cccc(C(=O)N(CC(C)C)CC(C)C)n2)n1,C28H42N4O2,466.7,5.65,66.4,0,2,11,2.63,0.255,0.105,False,0.59,True,True,0,2
