name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
claude_d1_r5_01,CCCCCCn1cc(-c2cccc(-c3cccc(-c4cn(CCCCCC)nn4)n3)n2)nn1,C26H34N8,458.6,5.82,87.2,0,8,13,2.72,0.6,0.0,False,0.0,True,True,0,2
claude_d1_r5_02,CCCCCCCCn1c(-c2cccc(-c3nc4ccccc4n3CCCCCCCC)n2)nc2ccccc21,C35H45N5,535.8,9.84,48.5,0,5,16,2.47,0.362,0.0,False,0.457,True,True,0,1
claude_d1_r5_03,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)nc3c2n1,C46H74N4O2,715.1,12.53,66.4,0,2,26,4.24,0.634,0.0,False,0.19,True,True,0,2
claude_d1_r5_04,CC(C)(C)c1ccc2nnc(-c3cccc(-c4nnc5ccc(C(C)(C)C)cc5n4)n3)nc2c1,C27H27N7,449.6,5.69,90.2,0,7,2,2.77,0.4,0.0,False,0.245,True,True,2,1
claude_d1_r5_05,CCCCCCCCn1cc(-c2cccc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nn1,C26H37N7,447.6,5.9,82.3,0,7,9,3.12,0.604,0.016,False,0.667,True,True,1,1
claude_d1_r5_06,CCCCCCc1cc(-c2cccc(-c3cc(CCCCCC)n(C)n3)n2)nn1C,C25H37N5,407.6,6.13,48.5,0,5,12,2.71,0.455,0.0,False,0.477,True,True,0,1
claude_d1_r5_07,CCCCCCCCn1cc(-c2ccc3ccc4ccc(-c5cn(CCCCCCCC)nn5)nc4c3n2)nn1,C32H42N8,538.7,8.02,87.2,0,8,16,2.81,0.542,0.0,False,0.737,True,True,0,2
claude_d1_r5_08,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)n2)n1,C44H74N4O2,691.1,11.89,66.4,0,2,27,4.18,0.5,0.0,False,0.705,True,True,0,2
claude_d1_r5_09,CC(C)Cc1nnc(-c2cccc(-c3cccc(-c4nnc(CC(C)C)c(CC(C)C)n4)n3)n2)nc1CC(C)C,C32H42N8,538.7,6.64,103.1,0,8,11,3.07,0.618,0.0,False,0.364,True,True,2,2
claude_d1_r5_10,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2cccc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)n1,C38H56N6O,612.9,9.51,84.8,0,5,17,3.23,0.569,0.015,False,0.571,True,True,1,2
