name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
claude_d4_r5_01,CC(C)Cc1nnc(-c2cccc(-c3cccc(-c4nnc(CC(C)C)c(CC(C)C)n4)n3)n2)nc1CC(C)C,C32H42N8,538.7,6.64,103.1,0,8,11,3.07,0.556,0.055,False,0.0,True,True,2,2
claude_d4_r5_02,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,C34H38N8,558.7,7.19,103.1,0,8,2,3.46,0.686,0.017,False,0.255,True,True,2,2
claude_d4_r5_03,CCCCc1nnc(-c2ccc3ccc4ccc(-c5nnc(CCCC)c(CCCC)n5)nc4c3n2)nc1CCCC,C34H42N8,562.8,7.86,103.1,0,8,14,3.03,0.632,0.111,False,0.419,True,True,2,2
claude_d4_r5_04,CCCCCCc1cc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,C33H47N7,541.8,7.61,90.2,0,7,7,3.63,0.581,0.136,False,0.478,True,True,2,1
claude_d4_r5_05,CC1(C)CCC(C)(C)c2nc(-c3cc(C(F)(F)F)cc(-c4cc(C(F)(F)F)cc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,C34H36F6N8,670.7,8.58,103.1,0,8,3,3.71,0.763,0.016,False,0.532,True,True,2,2
claude_d4_r5_06,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,C34H42N8,562.8,7.16,103.1,0,8,3,3.54,1.0,0.017,True,0.684,False,True,2,2
claude_d4_r5_07,CCCCCCCCc1cc(-c2cc(CCCCCCCC)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,C48H70N8,759.1,12.35,103.1,0,8,17,3.68,0.605,0.133,False,0.974,True,True,2,2
claude_d4_r5_08,CCCCN(CCCC)C(=O)c1cc(-c2cccc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,C41H55N9O,690.0,8.59,123.4,0,8,10,3.86,0.58,0.162,False,0.561,True,True,2,2
claude_d4_r5_09,CC(C)(C)Cc1cc(-c2cccc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)n[nH]1,C24H32N6,404.6,5.26,80.2,1,6,3,3.33,0.63,0.027,False,0.477,True,True,1,1
claude_d4_r5_10,Cc1nnc(-c2cccc(-c3cccc(-c4nnc(C)c(-c5ccccc5)n4)n3)n2)nc1-c1ccccc1,C30H22N8,494.6,5.8,103.1,0,8,5,2.57,0.415,0.018,False,0.415,True,True,2,2
